2026-03-24 13:23:55 | DEBUG    | clickbot.bot_controller | BotController initialized (return_type=1040)
2026-03-24 13:23:55 | WARNING  | clickbot.window_validator | TaxAct validation SKIPPED (skip_taxact_validation=true)
2026-03-24 13:23:56 | DEBUG    | clickbot.sounds | Played success sound: 1000Hz for 200ms
2026-03-24 13:23:56 | INFO     | clickbot.bot_controller | Bot worker thread running
2026-03-24 13:23:56 | INFO     | clickbot.bot_controller | Bot thread started
2026-03-24 13:23:56 | DEBUG    | clickbot.vision | Vision configured: base_path=C:\TaxActBot\dist\TaxActBot\_internal\.agents\screenshots\buttons, confidence=0.8
2026-03-24 13:23:56 | DEBUG    | clickbot.vision | Tesseract (bundled): C:\TaxActBot\dist\TaxActBot\_internal\tesseract_bundle\tesseract.exe
2026-03-24 13:23:56 | DEBUG    | clickbot.preprocessor | Loaded 463 records from C:\TaxActBot\logs\clients_2026-03-24-10-44-17.csv
2026-03-24 13:23:56 | DEBUG    | clickbot.bot_controller | Scrolled client table to top
2026-03-24 13:23:56 | DEBUG    | pytesseract | ['C:\\TaxActBot\\dist\\TaxActBot\\_internal\\tesseract_bundle\\tesseract.exe', 'C:\\Users\\TaxAct\\AppData\\Local\\Temp\\tess_68iekakw_input.PNG', 'C:\\Users\\TaxAct\\AppData\\Local\\Temp\\tess_68iekakw', '-l', 'eng', 'txt']
2026-03-24 13:23:57 | DEBUG    | pytesseract | ['C:\\TaxActBot\\dist\\TaxActBot\\_internal\\tesseract_bundle\\tesseract.exe', 'C:\\Users\\TaxAct\\AppData\\Local\\Temp\\tess_66ir60ux_input.PNG', 'C:\\Users\\TaxAct\\AppData\\Local\\Temp\\tess_66ir60ux', '-l', 'eng', 'txt']
2026-03-24 13:23:57 | DEBUG    | pytesseract | ['C:\\TaxActBot\\dist\\TaxActBot\\_internal\\tesseract_bundle\\tesseract.exe', 'C:\\Users\\TaxAct\\AppData\\Local\\Temp\\tess_gyshyny2_input.PNG', 'C:\\Users\\TaxAct\\AppData\\Local\\Temp\\tess_gyshyny2', '-l', 'eng', 'txt']
2026-03-24 13:23:57 | DEBUG    | clickbot.vision | Return type '1040' -> '1040'
2026-03-24 13:23:57 | DEBUG    | clickbot.vision | CSV scan row 0: AMID KHUSHKADAMOV and ADIBA DOROBEKOVA not TODO in CSV, skipping
2026-03-24 13:23:57 | DEBUG    | pytesseract | ['C:\\TaxActBot\\dist\\TaxActBot\\_internal\\tesseract_bundle\\tesseract.exe', 'C:\\Users\\TaxAct\\AppData\\Local\\Temp\\tess_dkpnqqji_input.PNG', 'C:\\Users\\TaxAct\\AppData\\Local\\Temp\\tess_dkpnqqji', '-l', 'eng', 'txt']
2026-03-24 13:23:57 | DEBUG    | pytesseract | ['C:\\TaxActBot\\dist\\TaxActBot\\_internal\\tesseract_bundle\\tesseract.exe', 'C:\\Users\\TaxAct\\AppData\\Local\\Temp\\tess_0n49_siy_input.PNG', 'C:\\Users\\TaxAct\\AppData\\Local\\Temp\\tess_0n49_siy', '-l', 'eng', 'txt']
